X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-86.046192501626876,39.89446868503596,17798,Shadeland Ave & 77th St,50106,398944611,-860461874
-86.046238901513775,39.892817884711754,17799,Shadeland Ave & Carlton Arms Pl,50107,398928103,-860462338
-86.0462158000784,39.876383981670195,17800,Shadeland Ave & 65th St,50108,398763764,-860462107
-86.045923999334164,39.86722648008876,17801,Shadeland Ave & Fall Creek Rd,50109,398672189,-860459189
-86.046830197347077,39.840473175118376,17802,46th St & Shadeland Ave,50110,398404656,-860468251
-86.04882939793562,39.84041297493512,17803,46th St & Dean St,50111,398404054,-860488243
-86.051985398867501,39.840422574769555,17804,46th St & Brookhaven Dr,50113,398404150,-860519803
-86.054860299735552,39.840428974633973,17805,46th St & Kitley Ave,50114,398404214,-860548552
-86.058103900658139,39.840432074513103,17806,46th St & Kenmore Rd,50115,398404245,-860580988
-86.062103101820085,39.840440474283461,17807,46th St & Park Forest Ct,50116,398404329,-860620980
-86.065094902561938,39.839107673957706,17808,Arlington Ave & 45th St,50117,398391001,-860650898
-86.065086902404033,39.83812917375851,17809,Arlington Ave & Cape Charles Dr,50118,398381216,-860650818
-86.065071402309513,39.83684517346888,17810,Arlington Ave & 44th St,50119,398368376,-860650663
-86.06505190229089,39.835643673269821,17811,Arlington Ave & Meadowlark Dr,50120,398356361,-860650468
-86.065014802116721,39.833306472896339,17812,Arlington Ave & 42nd St,50122,398332989,-860650097
-86.066183002344516,39.833056372734099,17813,42nd St & Campbell Ave,50123,398330488,-860661779
-86.069492003297214,39.833084672657364,17814,42nd St & Graham Ave,50125,398330771,-860694869
-86.072557904298606,39.833069872416907,17815,42nd St & Lesley Ave,50126,398330623,-860725528
-86.07704200563262,39.833093072251252,17816,42nd St & Irvington Ave,50127,398330855,-860770369
-86.079552006272209,39.83310267206722,17817,42nd St & Wexford Rd,50128,398330951,-860795469
-86.083426807527559,39.833131671870404,17818,42nd St & Emerson Ave,50130,398331241,-860834217
-86.0864119083585,39.833043671727339,17819,42nd St & Berkshire Rd,50132,398330361,-860864068
-86.090370009557788,39.833028971558555,17820,42nd St & Devon Ct E Dr,50133,398330214,-860903649
-86.093922610463466,39.833008971394037,17821,42nd St & Brown Rd,50135,398330014,-860939175
-86.097818611613377,39.832957271160893,17822,42nd St & Forest Manor Ave,50136,398329497,-860978135
-86.102543113110627,39.832930870926347,17823,42nd St & Sherman Dr,50137,398329233,-861025380
-86.106594614192559,39.832944270740164,17824,42nd St & Westbourne Dr,50138,398329367,-861065895
-86.109226814986584,39.831758170395972,17825,Meadows Dr & Edgemere Ct,50139,398317506,-861092217
-86.109376514908007,39.83092417022695,17826,Meadows Dr & Edgemere Dr,50140,398309166,-861093714
-86.110366215139081,39.829796569912595,17827,Meadows Dr & Adams St,50141,398297890,-861103611
-86.113186515779418,39.827993769535048,17828,Meadows Dr & Meadows Pkwy,50142,398279862,-861131814
-86.161614129675826,39.824331466383953,17829,Capitol Ave & 38th St,50158,398243239,-861616090
-86.161581029398974,39.821312665889764,17830,Capitol Ave & 36th St,50160,398213051,-861615759
-86.161566229031536,39.817132565073479,17831,Capitol Ave & 34th St,50162,398171250,-861615611
-86.161547128882745,39.813877764468238,17832,Capitol Ave & 32nd St,50164,398138702,-861615420
-86.161487228490046,39.809930963762135,17833,Capitol Ave & 30th St,50166,398099234,-861614821
-86.161464728349188,39.808549663550615,17834,Capitol Ave & 29th St,50167,398085421,-861614596
-86.161423528011426,39.804435662741959,17835,Capitol Ave & 26th St,50169,398044281,-861614184
-86.161419927642385,39.799982261878945,17836,Capitol Ave & 24th St,50172,397999747,-861614148
-86.161553927370619,39.796290761189837,17837,Capitol Ave & Fosters Pl,50174,397962832,-861615488
-86.161635527270761,39.79461786095078,17838,Capitol Ave & 21st St,50175,397946103,-861616304
-86.161582427115121,39.79326676064106,17839,Capitol Ave & 20th St,50176,397932592,-861615773
-86.16156042689046,39.790395560186845,17840,Capitol Ave & 18th St,50178,397903880,-861615553
-86.161455926630993,39.788753359821563,17841,Capitol Ave & 16th St,50179,397887458,-861614508
-86.161351626344043,39.786033659415395,17842,Capitol Ave & 14th St,50181,397860261,-861613465
-86.161352726305537,39.784785259150468,17843,Capitol Ave & 13th St,50182,397847777,-861613476
-86.161326226241513,39.783318358834904,17844,Capitol Ave & 12th St,50183,397833108,-861613211
-86.161314025899472,39.78049695836463,17845,Capitol Ave & 10th St,50185,397804894,-861613089
-86.161368825700904,39.778244357917728,17846,Capitol Ave & Saint Clair St,50187,397782368,-861613637
-86.161448525724609,39.777011057758671,17847,Capitol Ave & Walnut St,50188,397770035,-861614434
-86.161503925641199,39.775761557505682,17848,Capitol Ave & North St,50189,397757540,-861614988
-86.161531125526864,39.774443757286555,17849,Capitol Ave & Michigan St,50190,397744362,-861615260
-86.161652725254143,39.771851656800798,17850,Capitol Ave & New York St,50192,397718441,-861616476
-86.161693925183414,39.770213656498825,17851,Capitol Ave & Ohio St,50193,397702061,-861616888
-86.046218300677239,39.882860682885358,17852,Shadeland Ave & 71st St,50195,398828531,-860462132
-86.046215601133838,39.887558383804723,17853,Shadeland Ave & Shadeland Station,50196,398875508,-860462105
-86.046217701352433,39.890279984254555,17854,Shadeland Ave & 75th St,50197,398902724,-860462126
-86.046037600714939,39.883702583087121,17855,Shadeland Ave & 71st St,50198,398836950,-860460325
-86.074444004828976,39.833003372328754,17856,42nd St & Ritter Ave,50201,398329958,-860744389
-86.074104404754223,39.833078072321513,17857,42nd St & Ritter Ave,50202,398330705,-860740993
-86.075628805203891,39.833081872307481,17858,42nd St & Whittier Pl,50203,398330743,-860756237
-86.010249687700437,39.853514879283395,17859,Post Rd & 56th St,50204,398535073,-860102446
-86.010522987808429,39.85395367932,17860,Post Rd & 56th ST,50205,398539461,-860105179
-86.162072725333473,39.770038856435626,17861,Ohio St & Capitol Ave,50300,397700313,-861620676
-86.163235725685325,39.770110356307114,17862,Ohio St & Senate Ave,50301,397701028,-861632306
-86.179370834645326,39.821556364978541,17863,MLK St & Golden Hill Dr,51038,398215488,-861793657
