OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,USPS_VACANCY,TAX_DELINQUENT,SURPLUS,REPAIR_ORDER,DEMO_ORDER,IMPROVEMENT,SOURCE,SHAPEAREA,SHAPELEN
2061,1286099,9020619,9020619,425 S WARMAN AVE,INDIANAPOLIS,55643,1,1,1,0,0,0,1,MO,4494.88834079025,341.289700828171
2062,1017164,1065324,1065324,3453 E 26TH ST,INDIANAPOLIS,109143,1,1,1,0,1,0,1,MO,6187.80622810485,405.035394631571
2063,1043785,1050926,1050926,406 WALLACE AVE,INDIANAPOLIS,134305,1,1,1,0,0,0,1,MO,6670.15811607833,415.474652195988
2064,1046534,1015741,1015741,234 N OAKLAND AVE,INDIANAPOLIS,16540,0,1,1,0,0,0,1,MO,6800.63626725452,420.045400674037
2065,1278511,9018313,9018313,550 N EXETER AVE,INDIANAPOLIS,207539,0,1,1,0,1,0,1,MO,8165.38118777028,376.242487615697
2066,1014363,1091148,1091148,2802 N CHESTER AVE,INDIANAPOLIS,9058,1,0,1,0,0,0,0,MO,6018.37821111766,310.391878261884
2067,1067250,1020751,1020751,404 E MINNESOTA ST,INDIANAPOLIS,37978,1,0,1,0,0,0,1,MO,5228.08392777861,372.206943025587
2068,1027551,1041885,1041885,1835 HOLLOWAY AVE,INDIANAPOLIS,123811,0,1,1,0,1,0,1,MO,3073.7914289211,245.620475062502
2069,1181242,7026844,7026844,2901 N ROUTIERS AVE,INDIANAPOLIS,9173,0,1,1,0,0,0,1,MO,7255.97489562315,361.91214975999
2070,1068200,1056524,1056524,1739 DAWSON ST,INDIANAPOLIS,333197,0,1,1,0,0,0,1,MO,4800.12764482738,320.003928369514
2071,1200535,7017431,7017431,9310 BURK RD,INDIANAPOLIS,304783,0,1,1,0,0,0,1,MO,87564.9128281298,1504.33213960001
2072,1321645,7011594,7011594,324 S SPENCER AVE,INDIANAPOLIS,19302,0,1,1,0,0,0,1,MO,10712.3454884639,474.798622696216
2073,1060112,1076527,1076527,1045 VILLA AVE,INDIANAPOLIS,230151,0,1,1,0,0,0,1,MO,5488.99810426508,354.449798202028
2074,1012532,1012351,1012351,976 W 29TH ST,INDIANAPOLIS,80441,1,1,1,0,0,0,1,MO,2570.12827661843,231.640056716593
2075,1018665,1059318,1059318,2450 INDIANAPOLIS AVE,INDIANAPOLIS,44150,1,1,1,0,1,0,1,MO,5479.34557970799,353.970860617933
2076,1022417,1011883,1011883,2216 N COLLEGE AVE,INDIANAPOLIS,174032,1,0,1,1,0,0,0,MO,11831.9802214535,494.06504477656
2077,1272049,9021389,9021389,1241 N LIVINGSTON AVE,INDIANAPOLIS,17002,1,0,1,1,0,0,0,MO,4837.84056290566,315.899164119609
2078,1017658,1033395,1033395,1267 W 26TH ST,INDIANAPOLIS,194237,0,1,1,1,1,0,1,MO,4485.17037487048,329.005017757724
2079,1063380,1085938,1085938,3541 APPLE ST,INDIANAPOLIS,240322,0,1,1,0,0,0,1,MO,5570.71332614678,358.534828546024
2080,1319572,9019469,9019469,1210 N BELMONT AVE,INDIANAPOLIS,191204,1,1,1,0,1,0,1,MO,5099.95940418127,368.000393733151
2081,1127600,5000564,5000564,1410 MARTIN ST,INDIANAPOLIS,141362,1,0,1,0,0,0,0,MO,5252.53827319704,321.057974925377
2082,1016991,1059798,1059798,549 W 26TH ST,INDIANAPOLIS,479,0,1,1,0,0,0,1,MO,4809.59872506158,333.979447457992
2083,1317451,1021513,1021513,3707 CAROLINE AVE,INDIANAPOLIS,158700,0,1,1,0,1,0,1,MO,16845.4483813049,520.645978392411
2084,1044396,1007580,1007580,403 N DEARBORN ST,INDIANAPOLIS,308536,1,1,1,0,0,0,1,MO,4242.25154588968,310.737390615757
2085,1286777,9019983,9019983,521 HARRIS AVE,INDIANAPOLIS,301183,0,1,1,0,0,0,1,MO,3335.55694074528,260.542245728102
2086,1311789,4015647,4015647,9944 CATALINA DR,INDIANAPOLIS,298630,0,1,1,0,0,0,1,MO,6819.39958640579,343.986050699972
2087,1028056,1019898,1019898,2422 BROOKSIDE AVE,INDIANAPOLIS,126100,0,1,1,0,0,0,0,MO,3702.36761777045,267.949151114639
2088,1014206,1024203,1024203,554 W 28TH ST,INDIANAPOLIS,134030,0,1,1,0,0,0,1,MO,5203.77911661815,340.189260366667
2089,1126171,4010584,4010584,4038 N SHERIDAN AVE,INDIANAPOLIS,93849,1,1,1,0,0,0,1,MO,6983.30917444729,344.869265268809
2090,1246639,8011064,8011064,147 BUCKINGHAM DR,INDIANAPOLIS,264715,0,1,1,0,0,0,1,MO,6109.85911034071,354.010991610529
2091,1025387,1014035,1014035,2016 BELLEFONTAINE ST,INDIANAPOLIS,15362,1,1,1,0,0,0,1,MO,5236.7855969499,346.566660593316
2092,1321929,7008719,7008719,602 S GRAND AVE,INDIANAPOLIS,91039,0,1,1,0,0,0,1,MO,7307.94972008491,426.092891087257
2093,1266174,9000153,9000153,2039 N LUETT AVE,INDIANAPOLIS,229497,0,1,1,0,0,0,1,MO,5280.19886847125,344.029790353489
2094,1064444,1039729,1039729,1737 E TERRACE AVE,INDIANAPOLIS,152995,0,1,1,0,0,0,1,MO,6666.64838486132,388.842987618631
2095,1056092,1036749,1036749,4122 FLETCHER AVE,INDIANAPOLIS,145447,0,1,1,0,0,0,1,MO,5438.76695901587,351.974983572137
2096,1064516,1020320,1020320,1421 UNION ST,INDIANAPOLIS,249143,0,1,1,0,1,0,1,MO,6391.11268803248,374.024752293304
2097,1290990,9020155,9020155,1026 S BELLEVIEW PL,INDIANAPOLIS,18341,0,1,1,0,0,0,1,MO,5670.22528837772,355.49811036357
2098,1377983,1102199,1102199,1049 S STATE AVE,INDIANAPOLIS,161982,1,1,1,0,0,0,1,MO,2882.72924875239,224.077545531326
2099,1000440,1033408,1033408,3635 BIRCHWOOD AVE,INDIANAPOLIS,192257,1,0,1,0,1,0,1,MO,5737.46549250497,355.000390995966
2100,1322792,9024025,9024025,2202 MARTHA ST,INDIANAPOLIS,114563,1,1,1,0,1,0,1,MO,4159.69755946646,318.126812547338
2101,1326913,5007779,5007779,1115 KNOX ST,INDIANAPOLIS,84707,0,1,1,0,1,0,1,MO,3660.2250958346,304.012588060881
2102,1011926,1093933,1093933,847 EUGENE ST,INDIANAPOLIS,73022,1,0,1,0,0,0,0,MO,3125.09060204841,300.009252801359
2103,1290819,9021629,9021629,2816 STANDARD AVE,INDIANAPOLIS,338742,1,1,1,0,1,0,1,MO,12482.7513734161,450.002895052399
2104,1085345,3001869,3001869,4216 S POST RD,INDIANAPOLIS,201858,0,1,1,0,0,0,1,MO,24593.6419539081,1043.62186550637
2105,1003743,1014073,1014073,2022 E 34TH ST,INDIANAPOLIS,137708,1,1,1,0,0,0,1,MO,5716.00576625463,356.213746854215
2106,1125312,4003355,4003355,4128 DESMOND AVE,INDIANAPOLIS,326233,0,1,1,0,0,0,1,MO,6752.10014527512,370.063633756554
2107,1326436,5004742,5004742,37 E TROY AVE,INDIANAPOLIS,200730,1,0,1,0,0,0,1,MO,16689.2433973754,674.918229810241
2108,1017275,1065337,1065337,2604 CLIFTON ST,INDIANAPOLIS,326471,1,1,1,0,0,0,1,MO,2700.45413467695,240.013550076067
2109,1123871,4006997,4006997,4366 N ARLINGTON AVE,INDIANAPOLIS,173089,0,1,1,0,0,0,1,MO,11249.5074784535,434.713585593222
2110,1060313,1021097,1021097,1102 S ILLINOIS ST,INDIANAPOLIS,240155,1,1,1,0,0,0,1,MO,3060.1807454423,264.141707600267
2111,1015127,1006525,1006525,1010 W 27TH ST,INDIANAPOLIS,109975,0,1,1,0,0,0,1,MO,3777.28693982207,311.822449412262
2112,1185299,7006145,7006145,2230 N BUTLER AVE,INDIANAPOLIS,210710,0,1,1,0,0,0,1,MO,5323.68355890616,345.863955513883
2113,1277358,9016236,9016236,717 N HOLMES AVE,INDIANAPOLIS,1506,0,1,1,0,0,0,1,MO,5526.42444634737,385.801880234952
2114,1274713,9017612,9017612,1036 N SOMERSET AVE,INDIANAPOLIS,103015,0,1,1,0,0,0,1,MO,9779.05391145306,470.545028960637
2115,1130521,5001147,5001147,1005 E SUMNER AVE,INDIANAPOLIS,139386,1,1,1,1,1,0,1,MO,126148.969880874,1611.54156945323
2116,1044411,1078436,1078436,403 N GRAY ST,INDIANAPOLIS,174500,1,1,1,0,0,0,1,MO,3780.37141967504,282.0254600474
2117,1177742,7029920,7029920,3508 N EATON AVE,INDIANAPOLIS,212808,0,1,1,0,0,0,1,MO,7002.1754239361,356.803438534577
2118,1038403,1080009,1080009,905 N GRAY ST,INDIANAPOLIS,180056,0,1,1,0,0,0,1,MO,4613.59530914299,308.307483457833
2119,1004175,1088696,1088696,3357 BROUSE AVE,INDIANAPOLIS,103577,1,1,1,0,1,0,1,MO,6599.97657619227,363.90140089363
2120,1034734,1039607,1039607,1122 N EWING ST,INDIANAPOLIS,302803,0,1,1,0,0,0,1,MO,4799.9946951731,319.999841269877
2121,1315941,1023660,1023660,3746 N CAPITOL AVE,INDIANAPOLIS,287451,1,1,1,0,1,0,1,MO,6428.41081919573,400.340377491641
2122,1311728,4001771,4001771,3914 N GRAND AVE,INDIANAPOLIS,135988,0,1,1,0,0,0,1,MO,10000.9006849862,500.054116048976
2123,1181633,7024717,7024717,8120 SHIBLER DR,INDIANAPOLIS,186021,0,1,1,0,0,0,1,MO,7788.55397146502,375.234367374281
2124,1285407,9018523,9018523,326 S HOLMES AVE,INDIANAPOLIS,20479,0,1,1,0,0,0,1,MO,4806.53028241027,345.048398719517
2125,1067657,1094838,1094838,1718 S CHESTER AVE,INDIANAPOLIS,121866,1,1,1,0,0,0,1,MO,11268.6255077358,457.050141117248
2126,1000403,1067365,1067365,3621 N DEQUINCY ST,INDIANAPOLIS,161580,1,1,1,0,0,0,1,MO,7947.73578958463,417.916824817198
2127,1013802,1052832,1052832,963 UDELL ST,INDIANAPOLIS,20251,0,1,1,0,0,0,1,MO,3779.98811534396,312.000068022459
2128,1017992,1073049,1073049,722 W 25TH ST,INDIANAPOLIS,36438,1,1,1,0,1,0,1,MO,3813.12744638219,314.210223858514
2129,1042434,1020201,1020201,1907 W MICHIGAN ST,INDIANAPOLIS,38160,1,1,1,0,1,0,1,MO,3840.02778547803,315.999869493215
2130,1017533,1075708,1075708,945 W 26TH ST,INDIANAPOLIS,220982,0,1,1,0,0,0,1,MO,3776.95742780344,311.799505627352
2131,1013989,1094517,1094517,2819 N GLADSTONE AVE,INDIANAPOLIS,207341,0,1,1,0,0,0,1,MO,6391.65571819554,399.582339300555
2132,1009373,1033106,1033106,1218 W 31ST ST,INDIANAPOLIS,234592,1,1,1,0,0,0,1,MO,5822.95830173158,371.150470485126
2133,1124303,4010705,4010705,4326 N CATHERWOOD AVE,INDIANAPOLIS,28412,1,1,1,0,0,0,1,MO,13191.6875330784,494.691707683023
2134,1029701,1072595,1072595,1613 KILDARE AVE,INDIANAPOLIS,123256,1,1,1,0,0,0,1,MO,5578.99542530793,359.699387969169
2135,1185363,7016158,7016158,6243 COMMODORE DR,INDIANAPOLIS,52012,0,1,1,0,0,0,1,MO,8091.5044186445,388.452158359847
2136,1126983,4010456,4010456,6041 E 40TH ST,INDIANAPOLIS,80350,0,1,1,0,0,0,1,MO,7350.45222432517,350.003311957836
2137,1057910,1077718,1077718,817 BIRCH AVE,INDIANAPOLIS,246302,0,1,1,0,0,0,1,MO,4125.08568258751,355.0019272374
2138,1272251,9024121,9024121,1227 N MOUNT ST,INDIANAPOLIS,85715,0,1,1,0,0,0,1,MO,4322.64441387265,312.154682446191
2139,1027859,1034971,1034971,1786 ROOSEVELT AVE,INDIANAPOLIS,271616,1,0,1,1,0,0,0,MO,3664.15768371493,279.744838014569
2140,1312479,8004348,8004348,4759 E 39TH ST,INDIANAPOLIS,198139,0,1,1,0,0,0,1,MO,12361.5827386791,544.992862623404
2141,1009529,1091298,1091298,3025 N TEMPLE AVE,INDIANAPOLIS,159238,0,1,1,0,0,0,1,MO,6859.96274468383,378.001477771614
2142,1253773,9038567,9038567,3520 EISENHOWER DR,INDIANAPOLIS,122185,0,1,1,0,1,0,1,MO,10405.2397273028,462.893303751041
2143,1068661,1036584,1036584,1802 ASBURY ST,INDIANAPOLIS,263805,0,1,1,0,0,0,1,MO,4800.14134214609,320.003932456221
2144,1007443,1003378,1003378,1442 W 32ND ST,INDIANAPOLIS,4092,1,0,1,1,0,0,0,MO,4744.8414194293,371.990130687649
2145,1078496,2005639,2005639,4111 TINCHER RD,INDIANAPOLIS,62368,1,0,1,0,0,0,0,MO,15625.8850399655,500.450197855369
2146,1006707,1019457,1019457,3216 N COLLEGE AVE,INDIANAPOLIS,306883,1,1,1,0,0,0,1,MO,6551.50453805538,362.06342895432
2147,1024984,1086125,1086125,2024 N DEQUINCY ST,INDIANAPOLIS,248734,0,1,1,1,0,0,1,MO,6274.09280889089,373.190420805259
2148,1006223,1019515,1019515,3241 CENTRAL AVE,INDIANAPOLIS,248163,0,1,1,0,0,0,1,MO,6551.45562567417,362.052275065946
2149,1031669,1098802,1098802,1216 E 15TH ST,INDIANAPOLIS,15383,1,1,1,0,0,0,1,MO,2299.74810576915,191.869666670306
2150,1283147,9019262,9019262,2607 W WASHINGTON ST,INDIANAPOLIS,79658,0,1,1,0,0,0,1,MO,5546.01858478648,359.758499767027
2151,1314066,8012258,8012258,3827 N KENWOOD AVE,INDIANAPOLIS,245735,1,0,1,0,0,0,1,MO,5280.00733697916,344.000416839781
2152,1013143,1013505,1013505,2821 RUCKLE ST,INDIANAPOLIS,329118,1,0,1,1,0,0,0,MO,5237.34870006504,341.883111460423
2153,1054409,1071144,1071144,444 TROWBRIDGE ST,INDIANAPOLIS,280507,1,1,1,1,0,0,1,MO,6090.23360320172,391.986904503727
2154,1245427,8014589,8014589,2002 E 46TH ST,INDIANAPOLIS,141220,0,1,1,0,0,0,1,MO,5612.98113514097,360.604317368903
2155,1345082,7037928,7037928,1752 WELLESLEY COMMONS,INDIANAPOLIS,283112,1,1,1,0,0,0,1,MO,1720.70523193035,168.261742623465
2156,1276884,9024137,9024137,750 N CONCORD ST,INDIANAPOLIS,155877,0,1,1,0,0,0,1,MO,4476.5216838039,325.808317753928
2157,1012439,1069741,1069741,1250 W 29TH ST,INDIANAPOLIS,237408,1,1,1,1,0,0,1,MO,3749.9878832341,310.000514626974
2158,1032819,1055375,1055375,1334 N GALE ST,INDIANAPOLIS,220643,1,0,1,0,0,0,1,MO,4799.97925470372,319.999876896575
2159,1125763,4003060,4003060,4101 N KITLEY AVE,INDIANAPOLIS,263768,0,1,1,0,0,0,1,MO,6875.90052612526,375.057496568861
2160,1024180,1086113,1086113,4825 E 21ST ST,INDIANAPOLIS,326703,1,1,1,0,1,0,1,MO,4824.13702875986,321.210148416044
2161,1027540,1050589,1050589,1837 N DEQUINCY ST,INDIANAPOLIS,315425,0,1,1,0,0,0,1,MO,6018.89629379873,365.949394324744
2162,1012731,1032336,1032336,2848 MANLOVE AVE,INDIANAPOLIS,136479,1,1,1,0,0,0,1,MO,5339.48184937478,341.600365490812
2163,1048727,1012263,1012263,9 N TEMPLE AVE,INDIANAPOLIS,326770,1,0,1,1,0,0,0,MO,5320.783279334,335.594256240611
2164,1015922,1058636,1058636,2641 GUILFORD AVE,INDIANAPOLIS,57813,0,1,1,0,0,0,1,MO,3222.00293229398,227.402225635395
2165,1045817,1017138,1017138,2621 E NEW YORK ST,INDIANAPOLIS,91580,1,1,1,0,0,0,1,MO,5135.82766596082,332.186086583055
2166,1020869,1051177,1051177,2317 MILBURN ST,INDIANAPOLIS,198944,0,1,1,1,0,0,1,MO,12765.6320877038,452.011905587298
2167,1003074,1025672,1025672,3458 N KENWOOD AVE,INDIANAPOLIS,252911,0,1,1,0,0,0,1,MO,5280.18518748583,344.009520387138
2168,1375576,1103643,1103643,219 W 34TH ST,INDIANAPOLIS,194073,0,1,1,0,0,0,1,MO,1331.99757503509,145.999837026433
2169,1041003,1006871,1006871,703 N SHERMAN DR,INDIANAPOLIS,79733,1,1,1,0,1,0,1,MO,5449.82742485527,350.75134812436
2170,1036196,1011801,1011801,1003 N TUXEDO ST,INDIANAPOLIS,294557,0,1,1,0,0,0,0,MO,1399.34912161326,153.291014000855
2171,1012710,1036412,1036412,2869 N DEARBORN ST,INDIANAPOLIS,182934,0,1,1,0,0,0,1,MO,4698.94028219852,338.523366475286
2172,1006550,1022207,1022207,1318 W 33RD ST,INDIANAPOLIS,56588,1,1,1,0,1,0,1,MO,6194.98180372,424.000146351478
