OBJECTID,CENTERLINE_TAG,BIKE_LANE,L_ADD_FROM,L_ADD_TO,R_ADD_FROM,R_ADD_TO,L_ZIP,R_ZIP,COUNTY_LEFT,COUNTY_RIGHT,CITY_LEFT,CITY_RIGHT,TWP_LEFT,TWP_RIGHT,OPER_STATUS,MAINT_JURIS,TFARE,STRCLASS,STRSUBTYPE,SPD_LIM,ONE_WAY,ONE_WAY_DIR,PRE_DIR,STREET_NAME,STREET_TYPE,SUF_DIR,FULL_STNAME,STR_LABEL
184724,128722,EAST,2146,2198,2147,2199,46202,46202,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,35,FT,NORTH,N,ILLINOIS,ST,,ILLINOIS ST,ILLINOIS ST
572,117985,NORTH,750,798,751,799,46202,46202,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,30,TF,WEST,E,MICHIGAN,ST,,MICHIGAN ST,MICHIGAN ST
21,182069,NORTH,27,99,26,98,46204,46204,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,B,5,25,FT,WEST,W,MICHIGAN,ST,,MICHIGAN ST,MICHIGAN ST
25,182076,WEST,514,524,515,525,46204,46204,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,25,TF,SOUTH,N,CAPITOL,AVE,,CAPITOL AVE,CAPITOL AVE
985,117807,SOUTH,118,198,121,199,46204,46204,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,25,FT,EAST,E,NEW YORK,ST,,NEW YORK ST,NEW YORK ST
986,117799,SOUTH,100,116,101,119,46204,46204,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,25,FT,EAST,E,NEW YORK,ST,,NEW YORK ST,NEW YORK ST
568,138023,EAST,3400,3498,3417,3499,46208,46208,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,35,FT,NORTH,N,ILLINOIS,ST,,ILLINOIS ST,ILLINOIS ST
257887,212743,BOTH,1000,1024,1001,1025,46220,46220,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,WASHINGTON,WASHINGTON,REMOVED,DPW,LOCAL STREET,D,8,-1,N,,E,63RD,ST,,63RD ST,63RD ST
162224,117816,SOUTH,622,634,625,635,46202,46202,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,30,FT,EAST,E,NEW YORK,ST,,NEW YORK ST,NEW YORK ST
678,137849,WEST,4100,4198,4101,4199,46208,46208,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,WASHINGTON,WASHINGTON,BUILT,DPW,SECONDARY ARTERIAL,C,5,30, , ,N,CAPITOL,AVE,,CAPITOL AVE,CAPITOL AVE
2143,117812,SOUTH,300,328,301,329,46204,46204,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,25,FT,EAST,E,NEW YORK,ST,,NEW YORK ST,NEW YORK ST
2333,139675,WEST,4352,4398,4353,4399,46208,46208,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,WASHINGTON,WASHINGTON,BUILT,DPW,SECONDARY ARTERIAL,C,5,30, , ,N,CAPITOL,AVE,,CAPITOL AVE,CAPITOL AVE
2335,117804,SOUTH,2,98,1,99,46204,46204,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,25,FT,EAST,E,NEW YORK,ST,,NEW YORK ST,NEW YORK ST
3809,135222,BOTH,5326,5398,5325,5399,46219,46219,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,WARREN,WARREN,BUILT,DPW,PRIMARY ARTERIAL,C,5,30, , ,E,PLEASANT RUN PKWY,SDR,,PLEASANT RUN PKWY SDR,PLEASANT RUN PKWY SDR
2270,114541,BOTH,5550,5598,5551,5599,46226,46226,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,LAWRENCE,LAWRENCE,BUILT,DPW,PRIMARY ARTERIAL,C,5,40, , ,E,46TH,ST,,46TH ST,46TH ST
3384,146462,SOUTH,208,210,209,211,46204,46204,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,25,FT,EAST,E,NEW YORK,ST,,NEW YORK ST,NEW YORK ST
2956,178004,BOTH,2858,2998,2859,2999,46222,46222,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,WAYNE,WAYNE,BUILT,DPW,PRIMARY ARTERIAL,B,5,35,,,,LAFAYETTE,RD,,LAFAYETTE RD,LAFAYETTE RD
226590,147172,BOTH,8501,8699,8500,8698,46113,46113,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,DECATUR,DECATUR,BUILT,DPW,PRIMARY COLLECTOR,D,7,30, , ,,HEARTLAND,BLVD,,HEARTLAND BLVD,HEARTLAND BLVD
2528,118447,WEST,700,716,701,717,46204,46204,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,35,TF,SOUTH,N,CAPITOL,AVE,,CAPITOL AVE,CAPITOL AVE
3616,135539,SOUTH,5038,5052,5037,5057,46201,46201,MARION,MARION,INDIANAPOLIS,INDIANAPOLIS,CENTER,CENTER,BUILT,DPW,PRIMARY ARTERIAL,C,5,35,FT,EAST,E,NEW YORK,ST,,NEW YORK ST,NEW YORK ST
