X,Y,OBJECTID,INTERSECTION_TAG,TYPE1,TYPE2,TYPE3,STREET1,STREET2,STREET3,STREET4,STREET5,STREET6,STREET7,STREET8
-86.201667342633044,39.666305276509704,2006,84078,STREET/STREET,BUILT/BUILT,GRADE,GOVERNORS POINT AVE,GOVERNORS POINT BLVD,,,,,,
-86.175201908910822,39.847999346229479,2011,80943,STREET/STREET,BUILT/BUILT,GRADE,SUNNY MEADE LN,53RD ST,,,,,,
-86.051214648224828,39.677972556271044,2012,85852,STREET/STREET,BUILT/BUILT,GRADE,IRWIN ST,HONEYSUCKLE LN,,,,,,
-86.211983479305815,39.853613739760235,2018,50973,STREET/STREET,BUILT/BUILT,GRADE,COOPER RD,56TH ST,KESSLER BLVD WDR,KESSLER BLVD NDR,,,,
-86.031323540400621,39.884707084365992,2020,55676,STREET/STREET,BUILT/BUILT,GRADE,HILLTOP LN,TOUSLEY DR,,,,,,
-86.261530031552127,39.824728642851582,2022,95008,STREET/STREET,BUILT/BUILT,GRADE,38TH ST,BENNETT DR,,,,,,
-86.318123636172942,39.699268504927041,2023,95023,STREET/STREET,BUILT/BUILT,GRADE,COL H WEIR COOK MEM DR N,I-70 069 RAMP B,UNNAMED,,,,,
-86.280371092165652,39.832606126016067,2024,95031,STREET/STREET,BUILT/BUILT,GRADE,CALEDONIA WAY,CALEDONIA CIR,,,,,,
-86.136128080329826,39.731684127539701,2045,95079,STREET/ALLEY,BUILT/BUILT,GRADE,UNNAMED,ALLEY 2525 S,,,,,,
-86.135761766553387,39.730779361495465,2046,95081,STREET/ALLEY,BUILT/BUILT,GRADE,UNNAMED,ALLEY 2575 S,,,,,,
-86.080526653419426,39.670536151907143,2052,84940,STREET/STREET,BUILT/BUILT,GRADE,COBHAM WAY,COBHAM LN,,,,,,
-86.089869279205402,39.658783409419364,2053,85338,STREET/STREET,BUILT/BUILT,GRADE,TARRAGON DR,TARRAGON PL,POPPYSEED DR,,,,,
-86.314209440603122,39.769401749531944,2054,82590,STREET/STREET,BUILT/BUILT,GRADE,KIRK DR W,NEW YORK ST,,,,,,
-85.995477382906031,39.84266482718197,2056,57007,STREET/STREET,BUILT/BUILT,GRADE,DUSTIN DR,CHERRY TREE LN,,,,,,
-85.975221029525073,39.90974754515868,2057,55139,STREET/STREET,BUILT/BUILT,GRADE,GALLEY CT,HALYARD WAY,SKIPJACK DR,,,,,
-86.011837174963802,39.785728437582016,2058,69156,STREET/STREET,BUILT/BUILT,GRADE,SPOON DR,BAZIL AVE,,,,,,
-86.188432059846093,39.750745974920882,2059,75216,STREET/ALLEY,BUILT/BUILT,GRADE,BLAINE AVE,ALLEY 1225 S,,,,,,
-86.171809676782146,39.804647938468314,2060,77238,STREET/ALLEY,BUILT/BUILT,GRADE,ROACHE ST,ALLEY 725 W,,,,,,
-86.055900124013476,39.910354729554264,2061,56340,STREET/STREET,BUILT/BUILT,GRADE,WOODS EDGE SDR,WOODS EDGE EDR,,,,,,
-86.262913072569546,39.674297522984574,2062,83168,STREET/STREET,BUILT/BUILT,GRADE,NAVY CIR,TIMBERLAND WAY,COPELAND LAKES DR,TIMBERLAND CT,,,,
-85.95339440557548,39.794304881299475,2063,69646,STREET/STREET,BUILT/BUILT,GRADE,HERFORD DR,HALLE DR,,,,,,
-86.055066674892487,39.644981235766515,2064,85071,STREET/STREET,BUILT/BUILT,GRADE,CROSSER DR,LONESTAR DR,,,,,,
-86.282899188332465,39.780594321630986,2066,78484,STREET/STREET,BUILT/BUILT,GRADE,11TH ST,12TH ST,,,,,,
-86.251948137492334,39.763755722234215,2067,78234,STREET/STREET,BUILT/BUILT,GRADE,WALTON ST,MANHATTAN AVE,,,,,,
-86.217518245369277,39.861654502155496,2068,51554,STREET/STREET,BUILT/BUILT,GRADE,ALTON AVE,CATALPA AVE,60TH ST,,,,,
-85.952085406438798,39.656723057065975,2069,86244,STREET/STREET,BUILT/BUILT,GRADE,CARROLL RD,MC GREGOR RD,,,,,,
-86.326444457861285,39.661336998587181,2072,83144,STREET/STREET,BUILT/BUILT,GRADE,RACEWAY RD,CAMBY RD,,,,,,
-86.105163953423556,39.702039883040982,2073,87365,STREET/STREET,BUILT/BUILT,GRADE,LICKRIDGE LN NDR,LICKRIDGE LN SDR,,,,,,
-86.027092282066576,39.897201496374812,2074,55868,STREET/STREET,BUILT/BUILT,GRADE,WARBLER DR,WARBLER WAY,WARBLER CT,,,,,
-86.244965037344926,39.74896092937626,2075,77724,STREET/STREET,BUILT/BUILT,GRADE,CHELSEA RD,DUNLAP AVE,ALLEY 1250 S,,,,,
-86.116886514726573,39.649560475436751,2076,84897,STREET/STREET,BUILT/BUILT,GRADE,SIEAR DR,APPLETON TERRACE,,,,,,
-86.046357055967832,39.696705521888681,2077,86768,STREET/STREET,BUILT/BUILT,GRADE,THICKET GROVE LN,ROSE TREE CT,SILVER GROVE CT,,,,,
-85.994754217123756,39.802526533109457,2078,69705,STREET/STREET,BUILT/BUILT,GRADE,24TH ST,CHAPPIE LN,,,,,,
