OBJECTID,STREETNAME,COUNTY,TOWNSHIP,PHOTOYEAR,CONDITION,SHAPELEN
1,MASTERS RD,MARION,LAWRENCE,2007, ,179.047972065765
2,GLENCROFT WAY,MARION,LAWRENCE,2007, ,54.5211672994007
3,GLENCROFT WAY,MARION,LAWRENCE,2007, ,139.423809138237
4,GLENCROFT WAY,MARION,LAWRENCE,2007, ,149.357878218456
5,GLENCROFT WAY,MARION,LAWRENCE,2007, ,55.8448204385508
6,GLENCROFT WAY,MARION,LAWRENCE,2007, ,138.577122180821
7,GLENCROFT WAY,MARION,LAWRENCE,2007, ,121.620249794093
8,TANHURST DR,MARION,LAWRENCE,2007, ,115.674367277498
9,GLENCROFT WAY,MARION,LAWRENCE,2007, ,145.361650273827
10,MASTERS RD,MARION,LAWRENCE,2007, ,140.627726317554
11,MASTERS RD,MARION,LAWRENCE,2007, ,140.72014825399
12,96TH ST,MARION,LAWRENCE,2007, ,120.680465520134
13,86TH ST,MARION,LAWRENCE,2007, ,203.611711609845
14,MEGAN LN,MARION,LAWRENCE,2007, ,6.59029322320648
15,NA,MARION,LAWRENCE,2007, ,113.823720082697
16,NA,MARION,LAWRENCE,2007, ,54.4768932640982
17,NA,MARION,LAWRENCE,2007, ,310.014790398998
18,82ND ST,MARION,LAWRENCE,2007, ,38.6226590059098
19,82ND ST,MARION,LAWRENCE,2007, ,26.4797178635345
20,NA,MARION,LAWRENCE,2007, ,130.159980236296
21,NA,MARION,LAWRENCE,2007, ,46.7072556666667
22,NA,MARION,LAWRENCE,2007, ,263.485692258053
23,NA,MARION,LAWRENCE,2007, ,157.605928258127
24,82ND ST,MARION,LAWRENCE,2007, ,475.51611894763
25,CLEARVISTA WAY,MARION,LAWRENCE,2007, ,148.665104278378
26,CLEARVISTA DR,MARION,LAWRENCE,2007, ,182.124621469421
27,CLEARVISTA WAY,MARION,LAWRENCE,2007, ,111.164795396517
28,CLEARVISTA WAY,MARION,LAWRENCE,2007, ,98.3308534174449
29,CLEARVISTA WAY,MARION,LAWRENCE,2007, ,108.435663875482
30,NA,MARION,LAWRENCE,2007, ,300.74313529209
31,RURAL ST,MARION,WASHINGTON,2007, ,994.1039977388
32,RURAL ST,MARION,WASHINGTON,2007, ,108.500645653692
33,EVANSTON AVE,MARION,WASHINGTON,2007, ,312.573641100187
34,CAROLINE ST,MARION,WASHINGTON,2007, ,60.8791433333334
35,CRITTENDEN AVE,MARION,WASHINGTON,2007, ,967.814146218109
36,HAGUE RD,HAMILTON,DELAWARE,2007, ,69.979569629797
37,CROSSPOINT BLVD,HAMILTON,DELAWARE,2007, ,407.238355593744
38,CROSSPOINT BLVD,HAMILTON,DELAWARE,2007, ,379.852220403518
39,CROSSPOINT BLVD,HAMILTON,DELAWARE,2007, ,251.196030304188
40,CROSSPOINT BLVD,HAMILTON,DELAWARE,2007, ,80.0742174651886
41,CROSSPOINT BLVD,HAMILTON,DELAWARE,2007, ,38.9376317693995
42,CROSSPOINT BLVD,HAMILTON,DELAWARE,2007, ,231.570107185175
43,CROSSPOINT BLVD,HAMILTON,DELAWARE,2007, ,59.9445509176401
44,CROSSPOINT BLVD,HAMILTON,DELAWARE,2007, ,204.563814856308
45,HAGUE RD,HAMILTON,DELAWARE,2007, ,119.466596466471
46,NA,MARION,WASHINGTON,2008, ,541.733398880696
47,HOOVER LN,MARION,WASHINGTON,2008, ,434.069006816521
48,WEMBLEY CT,MARION,WASHINGTON,2008, ,463.389971329596
49,HOOVER LN,MARION,WASHINGTON,2008, ,876.73215406222
50,HOOVER LN,MARION,WASHINGTON,2008, ,604.420662623991
51,81ST ST,MARION,WASHINGTON,2008, ,371.614056669307
52,81ST ST,MARION,WASHINGTON,2008, ,377.964368361619
53,81ST ST,MARION,WASHINGTON,2008, ,931.590624966949
54,81ST ST,MARION,WASHINGTON,2008, ,188.938350522569
55,81ST ST,MARION,WASHINGTON,2008, ,730.084776692321
56,CENTURY CIR W,MARION,WASHINGTON,2008, ,232.199415276977
57,CENTURY CIR S,MARION,WASHINGTON,2008, ,241.123643723763
58,CENTURY CIR S,MARION,WASHINGTON,2008, ,377.237359825512
59,CENTURY CIR W,MARION,WASHINGTON,2008, ,432.342647032756
