X,Y,OBJECTID,ADDRESS_BLOCK,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_ADDRESS,METER_NUMBER,SPACE_NUMBER,SPACE_TYPE,INSTALL_DATE,HOURLY_RATE,DAILY_RATE,RATE_INCREASE_DATE,ZONE_NAME,OP_HOURS,OP_DAYS,PAY_TYPE
-86.161956123138623,39.771852454910871,67580,300,,INDIANA,AVE,,300 INDIANA AV,IND 000305,3672,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.159572931889841,39.773129004503204,67581,400,N,ILLINOIS,ST,E,400 N ILLINOIS ST,NILL000407,8254,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.151000740495334,39.769687636913176,67582,300,E,OHIO,ST,S,300 E OHIO ST,EO  000317,2796,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.162709392969674,39.770098564963781,67583,200,W,OHIO,ST,N,200 W OHIO ST,WO  000214,3042,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.153849233187842,39.772581091431455,67584,200,E,VERMONT,ST,S,200 E VERMONT ST,EV  000207,1550,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.166185239540908,39.770168665003489,67585,400,W,OHIO,ST,N,400 W OHIO ST,WO  000420,3111,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.156312421971478,39.772735403995526,67586,0000,E,VERMONT,ST,N,0000 E VERMONT ST,EV  000052,2594,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.158206772172917,39.772789319001099,67587,0000,W,VERMONT,ST,N,0000 W VERMONT ST,WV  000020,3549,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,SINGLE
-86.15976745355681,39.773734312823208,67588,400,N,ILLINOIS,ST,W,400 N ILLINOIS ST,NILL000418,8244,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.1755469974769,39.772518220281533,67589,300,,UNIVERSITY,BLVD,E,300 UNIVERSITY BLVD,UB  000317,3518,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.157687871012214,39.775083536640047,67590,500,N,MERIDIAN,ST,E,500 N MERIDIAN ST,NM  000523,8456,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.157449088593438,39.772791597719447,67591,0000,E,VERMONT,ST,N,0000 E VERMONT ST,EV  000012,2575,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.155773701192615,39.772617240943667,67592,100,E,VERMONT,ST,S,100 E VERMONT ST,EV  000103,2631,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.157532148135303,39.779327546041038,67593,900,N,MERIDIAN,ST,E,900 N MERIDIAN ST,NM  000901,2340,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,SINGLE
-86.157528405030163,39.779644359249062,67594,900,N,MERIDIAN,ST,E,900 N MERIDIAN ST,NM  000911,2345,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,SINGLE
-86.154603553961067,39.772594525456711,67595,100,E,VERMONT,ST,S,100 E VERMONT ST,EV  000119,2639,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,SINGLE
-86.15983015229412,39.771996173983602,67596,300,N,ILLINOIS,ST,W,300 N ILLINOIS ST,NILL000316,3947,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.152152444043921,39.769859702851804,67597,300,E,OHIO,ST,N,300 E OHIO ST,EO  000304,2772,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.154617774276815,39.766191298034052,67598,0000,S,DELAWARE,ST,W,0000 S DELAWARE ST,SD  000018,5148,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.154617592577253,39.776464703997519,67599,600,,FORT WAYNE,ST,,600 FORT WAYNE ST,FW  000630,8014,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.15773427549162,39.773651781836328,67600,400,N,MERIDIAN,ST,E,400 N MERIDIAN ST,NM  000425,8424,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.157796321770192,39.777400902069317,67601,700,N,MERIDIAN,ST,W,700 N MERIDIAN ST,NM  000724,2301,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,02,0700-2000,MON-SAT,MULTI
-86.161139927036544,39.769921224573835,67602,100,W,OHIO,ST,S,100 W OHIO ST,WO  000125,3477,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.154198387847529,39.777125657369304,67603,700,N,DELAWARE,ST,W,700 N DELAWARE ST,ND  000712,8705,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.162722874553751,39.775683122517854,67604,200,W,NORTH,ST,N,200 W NORTH ST,WN  000208,6103,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.157882124056101,39.775099933096541,67605,500,N,MERIDIAN,ST,W,500 N MERIDIAN ST,NM  000524,8441,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.157902283343219,39.773656789126697,67606,400,N,MERIDIAN,ST,W,400 N MERIDIAN ST,NM  000422,8411,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.15026029516288,39.772598457654979,67607,400,E,VERMONT,ST,N,400 E VERMONT ST,EV  000406,1572,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,SINGLE
